"Data Collection: ID","Data Collection: Data Collection Name","Evaluating Laboratory Name","LabNamePermission","Type of Facility","Country","Other Country","City","Sample Set","Sample Type","Other Sample Type","Sample Population","Other Sample Population","Source Population of Samples","Other Source Population","Reference Method","Other Reference Method","RT-PCR","Reference Test Name","Type of Index Test","Repeats","Other Repeats","Blinding","Other Blinding","Type of Antibody Test","Other Type of Antibody Test","Name of Antibody Test_1","Name of Antibody Test other","AB:Manufacturer_1","AB:Manufacturer other","AB:Catalog Number","AB:Lot Number","Target Marker","Antigen Used for Detection","AB:Sample Type","Other Sample Type AB","AB:Use Case","Other Use Case","AB:Days of Sickness","AB:Total Positive","AB:Total Negative","AB:True Positive","AB:True Negative","AB:Sensitivity","AB:Specificity","AB:Total Positive_early","AB:Total Negative_early","AB:True Positive_early","AB:True Negative_early","AB:Sensitivity_early","AB:Specificity_early","AB:Total Positive_middle","AB:Total Negative_middle","AB:True Positive_middle","AB:True Negative_middle","AB:Sensitivity_middle","AB:Specificity_middle","AB:Total Positive_late","AB:Total Negative_late","AB:True Positive_late","AB:True Negative_late","AB:Sensitivity_late","AB:Specificity_late","AB:Estimated LoD","AB:LoD Unit","Other AB:LoD Unit","AB:Higher_Cut-off","AB:Lower Cut-off","Type of Antigen Test","Other Type of Antigen Test","Name of Antigen Test_1","Name of Antigen Test other","AT:Manufacturer_1","AT:Manufacturer other","AT:Catalog Number","AT:Lot Number","Target Antigen","AT:Sample Type","Other Sample Type AT","AT:Days of Sickness","AT:Total Positive","AT:Total Negative","AT:True Positive","AT:True Negative","AT:Sensitivity","AT:Specificity","AT:Total Positive_early","AT:Total Negative_early","AT:True Negative_early","AT:True Positive_early","AT:Sensitivity_early","AT:Specificity_early","AT:Total Positive_middle","AT:Total Negative_middle","AT:True Positive_middle","AT:True Negative_middle","AT:Sensitivity_middle","AT:Specificity_middle","AT:Total Positive_late","AT:Total Negative_late","AT:True Positive_late","AT:True Negative_late","AT:Sensitivity_late","AT:Specificity_late","AT:Estimated LoD","AT:LoD Unit","Other AT:LoD Unit","AT:Higher Cut-off","AT:Lower Cut-off","Type of Molecular Test","Other Type of Moleculer Test","Name of Molecular Test_2","Name of Molecular Test other","MT:Manufacturer_1","MT:Manufacturer other","MT:Catalog Number","MT:Lot Number","Template Type","RNA Extraction Kit Used","MT:Sample Type","Other Sample Type MT","MT:Days of Sickness","MT:Total Positive","MT:Total Negative","MT:True Positive","MT:True Negative","MT:Sensitivity","MT:Specificity","MT:Total Positive_early","MT:Total Negative_early","MT:True Positive_early","MT:True Negative_early","MT:Sensitivity_early","MT:Specificity_early","MT:Total Positive_middle","MT:Total Negative_middle","MT:True Positive_middle","MT:True Negative_middle","MT:Sensitivity_middle","MT:Specificity_middle","MT:Total Positive_late","MT:Total Negative_late","MT:True Positive_late","MT:True Negative_late","MT:Sensitivity_late","MT:Specificity_late","MT:Estimated LoD","MT:LoD Unit","Other MT:LoD Unit","Ct Value","Results Published","Link to Publication","DOI","Comments"
"a1L1r0000090lnN","a1L1r0000090lnN","National Taiwan University Hospital","Yes","Hospital","Other","","Taipei","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","2019-nCoV IgG/IgM Rapid Test Cassette","","Hanghzhou AllTest Biotech Co., Ltd","","","","IgG; IgM","Nucleocapsid protein","Serum","","Detection of past infection","","Late (>14)","","","","","","","","","","","","","","","","","","","53","21","52","21","","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.journalofinfection.com/article/S0163-4453(20)30404-7/pdf","10.1016/j.jinf.2020.06.023","Controls:Hospitalized patients with respiratory tract infection or fever but two negative results of SARS-CoV-2 rRT-PCR"
"a1L1r000007p3nv","a1L1r000007p3nq","Tongji Medical College, Huazhong University of Science and Technology","Yes","Hospital","China","","Wuhan","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Validated in-house method","","Antibody test","Not available","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","2019-nCoV IgG/IgM Antibody Detection Kit","","Zhuhai Livzon Diagnostics Inc","","","20200308","IgG","","Serum","","Detection of current infection","","Late (>14)","","","","","","","","","","","","","","","","","","","66","60","55","57","83.3","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188146/pdf/ciaa461.pdf","10.1093/cid/ciaa461","Days of sickness for all patients were >13 and <29.

Diagnostic value of serological IgM and IgG antibodies for COVID-19 pneumonia was evaluated in 66 patients with positive nucleic acid tests."
"a1L1r0000090lnX","a1L1r0000090lnX","Ampath Laboratories","Yes","Private Laboratory","South Africa","","","Retrospective set","Other","Respiratory specimen","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Other","Chemiluminescent microparticle immunoassay (CMIA)","Abbott Architect SARS-CoV-2 IgG","","Abbott Laboratories","","","","IgG","","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","","212","","212","","100.0","51","","22","","43.1","","17","","8","","47.1","","65","","54","","83.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","",""
"a1L1r0000090lo1","a1L1r0000090lo1","The First People’s Hospital of Jingmen","Yes","Hospital","China","","Jingmen","Retrospective set","Nasopharyngeal swabs","","Symptomatic patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not available","","Other","Chemiluminescent microparticle immunoassay (CMIA)","Not available","","Other","Xiamen Wantai Kairui Biotechnology","","","Total Ig","Spike protein receptor binding domain","Serum","","Detection of current infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","141","234","135","231","95.7","98.7","61","","58","","95.0","","72","","70","","97.0","","8","","7","","87.5","","","","","Signal-to-cut off ratio ≥1.0","Signal-to-cut off ratio <1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sciencedirect.com/science/article/pii/S0166093420301713?via%3Dihub","10.1016/j.jviromet.2020.113919",""
"a1L1r0000090lo6","a1L1r0000090lo6","Norwegian Organization for Quality Improvement of Laboratory Examinations, Haraldsplass Deaconess Hospital","Yes","Hospital","Norway","","Bergen","Prospectively collected set","Other","Upper respiratory specimen","Symptomatic patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not available","","Rapid diagnostic test (RDT)","","Other","Acro Biotech COVID-19 Rapid POC test","ACRO Biotech Inc.","","","","IgG","","Whole blood","","Detection of current infection; Detection of past infection","","Total; Early (~1-7)","26","23","","","17.0","92.0","13","","0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.degruyter.com/view/journals/cclm/ahead-of-print/article-10.1515-cclm-2020-0628/article-10.1515-cclm-2020-0628.xml","10.1515/cclm-2020-0628","Median number of days since onset of symptoms: 8 (range 2–34)

Thirteen had <7 days since onset of symptoms, six had 7–13 days, and four had 14+ days."
"a1L1r0000090j2c","a1L1r0000090j2c","Institute of Laboratory Medicine, Kantonsspital Aarau AG","Yes","Hospital","Switzerland","","Aarau","Prospectively collected set","Nasopharyngeal swabs","","Symptomatic patients","","Not available","","Clinical examination; Computed Tomography (CT); RT-PCR","","Commercal kit","Seegene Inc","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","Other","SARS-CoV-2 IgM/IgG","Other","Maccura Biotechnology","","","IgG; IgM","Nucleocapsid protein; Spike protein","Not available","","Detection of current infection","","Total; Early (~1-7)","67","76","40","67","59.7","88.2","21","","9","","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.degruyter.com/view/journals/cclm/ahead-of-print/article-10.1515-cclm-2020-0635/article-10.1515-cclm-2020-0635.xml","10.1515/cclm-2020-0635",""
"a1L1r0000090j2S","a1L1r0000090j2S","Department of Microbiology, Monash Health, Clayton, VIC","Yes","Hospital","Australia","","Clayton","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Symptomatic patients","","Not available","","RT-PCR","","Validated in-house method","","Molecular test","Not available","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integrated system","","SARS-CoV-2, Influenza and RSV 8-well","","AusDiagnostics","","20081","","Fresh RNA extracted","AusDiagnostics MT-Prep extraction system","Nasopharyngeal swabs; Oropharyngeal swabs; Sputum; Tracheal aspirate","","Not available","127","60","118","59","92.9","98.3","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7236671/","10.1016/j.jcv.2020.104448","Sample transportation in UTM medium"
"a1L1r0000090gd4","a1L1r0000090gd4","Clinical Laboratory, Clinica Alemana de Santiago","Yes","Hospital","Chile","","Santiago","Retrospective set","Other","Universal transport medium with nasopharyngeal swab (off-label)","Symptomatic patients","","Not available","","RT-PCR","","Commercal kit","Genesig® Real-Time PCR assay (Primer Design Ltd., Chander´s Ford, UK)","Antigen test","Other","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Blinded to reference results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rapid diagnostic test (RDT)","","SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit","","Beijing Savant Biotechnology Co., Ltd","","BCT-HKT-050","20031501","Nucleocapsid protein","Other","Universal transport medium with nasopharyngeal swab (off-label)","Total","78","31","13","31","16.7","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sensitivity analysis of subgroups with high and low viral loads

Positive samples with:
- Ct <25: 11/52 = 21.2%
- Ct >25: 2/26 = 7.7%"
"a1L1r000007p3nq","a1L1r000007p3nq","Tongji Medical College, Huazhong University of Science and Technology","Yes","Hospital","China","","Wuhan","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Symptomatic patients","","Mild; Moderate; Severe","","RT-PCR","","Validated in-house method","","Antibody test","Not available","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","2019-nCoV IgG/IgM Antibody Detection Kit","","Zhuhai Livzon Diagnostics Inc","","","20200308","IgM","","Serum","","Detection of current infection","","Late (>14)","","","","","","","","","","","","","","","","","","","66","60","51","60","77.3","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188146/pdf/ciaa461.pdf","10.1093/cid/ciaa461","Days of sickness for all patients were >13 and <29.

Diagnostic value of serological IgM and IgG antibodies for COVID-19 pneumonia was evaluated in 66 patients with positive nucleic acid tests."
"a1L1r0000090j2h","a1L1r0000090j2h","Department of Laboratory Medicine, Catholic University of Daegu School of Medicine","Yes","Hospital","Korea, Republic of (South Korea)","","Daegu","Prospectively collected set","Nasopharyngeal swabs; Sputum","","Symptomatic patients","","Not available","","RT-PCR","","Commercal kit","PowerChekTM 2019-nCoV Real-time PCR kit, KOGENEBIOTECH Co.","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","PCL COVID19 IgG/IgM Rapid Gold","","PCL Inc.","","","","IgG; IgM","Nucleocapsid protein; Spike protein RBD domain","Serum","","Detection of current infection; Detection of past infection","","Total","70","79","65","76","92.9","96.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://onlinelibrary.wiley.com/doi/epdf/10.1002/jmv.26060","10.1002/jmv.26060","Mean disease duration defined period from diagnosis to enrollment in this study was 23.7 days (SD 10.2)."
"a1L1r000008zDyi","a1L1r000008zDyi","PROFARMA, JSC","Yes","Private Laboratory","Lithuania","","Vilnius","Prospectively collected set","Whole blood","","Confirmed COVID-19 patients","","Mild","","Immunoassay","","","AMP Rapid Test SARS-CoV-2 IgG/IgM test","Antibody test","Triplicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","Rapid SARS-CoV-2 Antibody (IgM/IgG)","","AMEDA Labordiagnostik GmbH","","RT2942","20030441","IgG; IgM","Spike protein","Whole blood","","Detection of past infection","","Late (>14)","","","","","","","","","","","","","","","","","","","138","38","132","37","95.7","97.3","30.0","nanog / mL","","100","0,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nasopharyngeal swabs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","",""
"a1L1r0000090k7w","a1L1r0000090k7w","Wuhan Tongji Hospital; Wuhan Pulmonary 47 Hospital; Wuhan No. 1 Hospital","Yes","Hospital","China","","Wuhan","Retrospective set","Oropharyngeal swabs","","Not available","","Mild; Moderate; Severe; Critical","","RT-PCR","","Commercal kit","Commercial RT-PCR assays approved by the National Medical Products Administration","Molecular test","Triplicates","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integrated system","","Xpert Xpress SARS-CoV-2","","Cepheid","","","","Specimen without RNA extraction","","Oropharyngeal swabs","","Not available","153","132","147","127","96.1","96.2","","","","","","","","","","","","","","","","","","","","","","","Yes","https://jcm.asm.org/content/jcm/early/2020/06/05/JCM.01288-20.full.pdf","10.1128/JCM.01288-20",""
"a1L1r0000090k7S","a1L1r0000090k7S","Department of Microbiology, Royal Melbourne Hospital","Yes","Hospital","Australia","","Melbourne","Prospectively collected set","Bronchoalveolar lavage; Nasopharyngeal swabs; Oropharyngeal swabs; Sputum; Tracheal aspirate","","Symptomatic patients","","Not available","","RT-PCR","","Validated in-house method","","Molecular test","Not available","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integrated system","","SARS-CoV-2, Influenza and RSV 8-well","","AusDiagnostics","","","","Fresh RNA extracted","Viral RNA mini kit (QIAGEN, Hilden, Germany)","Bronchoalveolar lavage; Nasopharyngeal swabs; Oropharyngeal swabs; Sputum; Tracheal aspirate","","Total","53","622","53","621","100.0","99.8","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.06.03.20117267v1.full.pdf","10.1101/2020.06.03.20117267",""
